"id","session","expectationsafter","hard","changes","expectation_words","expectationwordafter","current_emotion"
"110","t4t4fqe2ci6dqxf3lp5qj","0","3","0","1","3","5"
"111","fv0e4ccodvfx95kkdbcozf","1","2","1","2","5","9"
"112","si1leok2jsohrqqqmhvqui","1","2","0","2","5","5"
"113","si1leok2jsohrqqqmhvqui","1","3","1","2","6","5"
"114","ssqufbeil7rav0sbqilgrj","1","1","0","2","3","5"
"115","940vm64vx4ojtr56p2isz","1","2","1","5","3","5"
"116","archa5200lm3q163motygh","1","3","1","2","2","5"
"117","ip6rtep9qdqaouxedm1s","1","3","0","3","3","9"
"118","dm0wwzqr486nm4dvep77c","1","2","0","1","4","9"
"119","q5mkkzqb8r28eyu0ifoql","0","3","1","1","3","5"
"120","6jcdlinak7jqvvtd94s4gj","1","3","0","2","3","6"
"121","j7z82u9lepdvluy4iw9nn","0","1","1","1","3","5"
"122","lifhnnr53rbfwh9bcdcwg","1","3","1","2","4","7"
"123","tsgfjnwfnjasc81i0yud","1","1","1","5","4","8"
"124","kwjekkoqhbrtzexrr7p5l","1","3","1","2","4","6"
"125","zw6angvwujq8j42ceivi79","1","3","1","4","3","5"
"126","p4x0x19nxz3nntky6fhrr","0","1","0","2","4","8"
"127","sbk0be21inl4q0dudq5ajb","1","3","1","2","2","3"
"128","ooztkbw0ncf08ggrtihh2kp","1","2","1","3","4","7"
"129","6mthqqg1e8vj3qu7i61a3l","1","3","1","2","2","6"
"130","2pafe5llxz5jgkvmp50we","1","3","1","5","4","7"
"131","llgg9nempnuxcwc8arx1e","1","3","1","4","2","3"
"132","iydxdv7rztoa1pove6f9ce","1","3","1","5","5","7"
"133","eti05sm1g9tv7pcqmbo1tf","0","3","1","4","1","2"
"134","uqkeq5k8fleu47d5j3rpjp","1","3","1","5","6","10"
"135","jnfm406e4kk0fpb74t4vdo9","1","3","1","4","5","7"
"136","fanhnwcphc55hxd9a85enb","0","3","0","1","3","5"
"137","6o7opuifq52y1fpsk7qx4","1","3","1","3","4","7"
"138","xf1o18903srqrcfhbmrgdd","1","3","1","4","6","10"
"139","ovwb9uftl3o3gz4ncgf8km","1","3","1","4","1","2"
"140","icn1017y1mmf9co53ce8u","1","3","1","4","4","7"
"141","wtrerxqquox9otefmgy9a","1","3","0","4","3","5"
"142","agijq6siu42dp3pjk6vep","1","3","1","4","4","7"
"143","mzpx9ramjbdn0niailxvzg","1","3","1","4","1","2"
"144","vxcn4n1hp5nkduc0qb5jmc","0","3","1","4","4","6"
"145","pjllhjb7pz6ghnp2ojaw","1","3","1","4","1","2"
"146","9uaqyil6rhdeislbc7lw1","1","3","1","4","4","7"
"147","fs5nft5gband28xxs4vryb","1","3","1","2","4","7"
"148","51de7vhrvaprsoobbtbv4","1","3","1","4","4","6"
"149","5ulsv5nl7euk5dfjr8p8sc","0","1","1","5","3","5"
"150","rj209v678cbe83010bap2b","0","3","1","4","2","3"
"151","bam5jhi3q2h6orvg8qymzm","1","3","0","4","2","3"
"152","wsejglkv1ko5tzy64f6dxq","1","3","0","4","2","2"
"153","jn43at34zhcqa6ca31ane8","1","3","1","4","3","6"
"154","83k6ojgohuxlj7dorly32c","1","2","1","4","3","5"
"155","0w6t2jiu923kili79wmg5n","0","3","0","4","3","6"
"156","i1utooe6iyjl98mduen9ml","1","3","1","4","2","2"
"157","s6oeaqq3nz3bk8yjjn2dq","1","3","1","4","6","10"
"158","sj5c8tai4zez0cq1zwqgqs","1","3","1","4","2","2"
"159","y8vns2cwvdgr5lji153mf","0","3","1","4","3","6"
"160","noomyt7bdlgpz251yjo8sj","1","3","1","4","2","3"
"161","vsq5q7gidhr67hhwg5wdto","1","3","1","4","6","10"
"162","sginoi8d1kq5nrcmh0e61d","0","3","1","4","2","3"
"163","2dzb4xl2a3tbwdjj4d18n6","1","3","1","4","4","9"
