"id","session","expectationsafter","hard","changes","expectation_words","expectationwordafter","current_emotion"
"110","t4t4fqe2ci6dqxf3lp5qj","0","3","0","1","3","5"
"111","fv0e4ccodvfx95kkdbcozf","1","2","1","2","5","9"
"112","si1leok2jsohrqqqmhvqui","1","2","0","2","5","5"
"113","si1leok2jsohrqqqmhvqui","1","3","1","2","6","5"
"114","ssqufbeil7rav0sbqilgrj","1","1","0","2","3","5"
"115","940vm64vx4ojtr56p2isz","1","2","1","5","3","5"
"116","archa5200lm3q163motygh","1","3","1","2","2","5"
"117","ip6rtep9qdqaouxedm1s","1","3","0","3","3","9"
"118","dm0wwzqr486nm4dvep77c","1","2","0","1","4","9"
"119","q5mkkzqb8r28eyu0ifoql","0","3","1","1","3","5"
"120","6jcdlinak7jqvvtd94s4gj","1","3","0","2","3","6"
"121","j7z82u9lepdvluy4iw9nn","0","1","1","1","3","5"
"122","lifhnnr53rbfwh9bcdcwg","1","3","1","2","4","7"
"123","tsgfjnwfnjasc81i0yud","1","1","1","5","4","8"
"124","kwjekkoqhbrtzexrr7p5l","1","3","1","2","4","6"
"125","zw6angvwujq8j42ceivi79","1","3","1","4","3","5"
"126","p4x0x19nxz3nntky6fhrr","0","1","0","2","4","8"
"127","sbk0be21inl4q0dudq5ajb","1","3","1","2","2","3"
"128","ooztkbw0ncf08ggrtihh2kp","1","2","1","3","4","7"
"129","6mthqqg1e8vj3qu7i61a3l","1","3","1","2","2","6"
"130","2pafe5llxz5jgkvmp50we","1","3","1","5","4","7"
"131","llgg9nempnuxcwc8arx1e","1","3","1","4","2","3"
"132","iydxdv7rztoa1pove6f9ce","1","3","1","5","5","7"
"133","eti05sm1g9tv7pcqmbo1tf","0","3","1","4","1","2"
"134","uqkeq5k8fleu47d5j3rpjp","1","3","1","5","6","10"
"135","jnfm406e4kk0fpb74t4vdo9","1","3","1","4","5","7"
"136","fanhnwcphc55hxd9a85enb","0","3","0","1","3","5"
"137","6o7opuifq52y1fpsk7qx4","1","3","1","3","4","7"
"138","xf1o18903srqrcfhbmrgdd","1","3","1","4","6","10"
"139","ovwb9uftl3o3gz4ncgf8km","1","3","1","4","1","2"
"140","icn1017y1mmf9co53ce8u","1","3","1","4","4","7"
"141","wtrerxqquox9otefmgy9a","1","3","0","4","3","5"
"142","agijq6siu42dp3pjk6vep","1","3","1","4","4","7"
"143","mzpx9ramjbdn0niailxvzg","1","3","1","4","1","2"
"144","vxcn4n1hp5nkduc0qb5jmc","0","3","1","4","4","6"
"145","pjllhjb7pz6ghnp2ojaw","1","3","1","4","1","2"
"146","9uaqyil6rhdeislbc7lw1","1","3","1","4","4","7"
"147","fs5nft5gband28xxs4vryb","1","3","1","2","4","7"
"148","51de7vhrvaprsoobbtbv4","1","3","1","4","4","6"
"149","5ulsv5nl7euk5dfjr8p8sc","0","1","1","5","3","5"
"150","rj209v678cbe83010bap2b","0","3","1","4","2","3"
"151","bam5jhi3q2h6orvg8qymzm","1","3","0","4","2","3"
"152","wsejglkv1ko5tzy64f6dxq","1","3","0","4","2","2"
"153","jn43at34zhcqa6ca31ane8","1","3","1","4","3","6"
"154","83k6ojgohuxlj7dorly32c","1","2","1","4","3","5"
"155","0w6t2jiu923kili79wmg5n","0","3","0","4","3","6"
"156","i1utooe6iyjl98mduen9ml","1","3","1","4","2","2"
"157","s6oeaqq3nz3bk8yjjn2dq","1","3","1","4","6","10"
"158","sj5c8tai4zez0cq1zwqgqs","1","3","1","4","2","2"
"159","y8vns2cwvdgr5lji153mf","0","3","1","4","3","6"
"160","noomyt7bdlgpz251yjo8sj","1","3","1","4","2","3"
"161","vsq5q7gidhr67hhwg5wdto","1","3","1","4","6","10"
"162","sginoi8d1kq5nrcmh0e61d","0","3","1","4","2","3"
"163","2dzb4xl2a3tbwdjj4d18n6","1","3","1","4","4","9"
"166","nt9mp7mpsljg5i01lmmcr","0","1","0","5","3","8"
"167","4sjhpbpz9zy2c03euvhkix","0","1","0","3","3","6"
"168","5si6mzma8orl0g91u2odet","1","3","1","4","3","8"
"169","1bq8zhdgag2zre5xcmxs8o","1","2","1","4","3","5"
"170","bs3h38j4cikpf2mb604q3","0","1","0","4","4","7"
"171","j1grisz81tqy6bplbgzyv","1","1","0","5","3","6"
"172","l238ig2lcitthtqoitqf","1","2","0","5","2","7"
"173","j1grisz81tqy6bplbgzyv","0","1","0","4","0","0"
"174","3b7lookgf9ulz7dke3dmz8","0","3","0","3","2","7"
"175","l238ig2lcitthtqoitqf","0","2","0","5","2","10"
"176","89krx5ua1z6l67ndip8sgb","1","3","0","5","2","8"
"177","0hr0qvt3cbjjj8btx23e9d9","1","3","1","4","2","10"
"178","sbze12pcm8wyzamcb55x","1","3","1","4","0","2"
"179","b5tgtkjhq8lmmp5uye6kw","1","3","0","4","2","7"
"180","nlpmm49ruj89g9iq6pt2nk","1","3","1","3","0","3"
"181","xg9jjx9is0jaquwv98ch8v","1","3","1","4","2","8"
"182","80eal0ez1id5lycsxeqooi","0","3","1","4","2","7"
"183","8dr1fzzymhe4w4eqn6lrqi","1","3","0","4","2","10"
"184","51dg379y5r4mb7hpvnt7","1","3","1","4","0","3"
"185","51dg379y5r4mb7hpvnt7","1","2","0","4","1","5"
"186","hkhum8xz0ilp0uy4qmd3m","1","3","0","3","2","9"
"187","ej0iq3uklwh4r04pq9w4u3","1","3","1","4","2","7"
"188","j238x75z2jbtv7m9fbtxu","1","3","0","5","2","8"
"189","whkyhn3kjmbj1anc8d1a9g","1","3","1","4","1","5"
"190","4j0orgxvjq9kany58o26l","1","3","0","4","1","5"
"191","ogh6cyopu3o0v2rrsvi8l9b","1","2","1","4","1","5"
"192","nq88hdfjng9zqcscp4n1t","0","3","0","2","1","6"
"193","acbtu6fh1hgjdxisuznsi","1","2","1","4","2","10"
"194","nyj4wp16vcfgb9pbnbhz5p","1","1","1","2","1","6"
"195","7tvu7m5u0lyp8rojcfdhcf","1","3","1","2","2","10"
"196","qoapy8h1z79fupj7zyd115","1","3","1","2","2","9"
"197","w8y5pp12k3mfyr0bapy6l8","1","2","1","5","0","7"
"198","idi4gvl7tm6gysj1bzyla","1","3","0","4","2","7"
"199","3s2blvio587mq2y45u5e8","1","3","1","2","2","7"
"200","7nvklvlbmbfrtr07q5ujl","1","3","1","3","2","7"
"201","7nvklvlbmbfrtr07q5mwx","1","3","1","2","2","10"
"202","i4plwh5zckefrdv6mj2714","1","3","1","4","1","5"
"203","t7mkykciechftucovqqxsa","1","3","1","2","2","8"
"204","zsywsauesvzz4m87uxleg","1","3","1","4","2","7"
"205","ahhmoxqxv8ndfg5s5r4w05","1","1","1","1","2","9"
"206","kw9oa3l9ka8f9q6elqoxwd","1","3","0","5","1","5"
"207","laswvhn3hqdqpj86uyyhc","0","3","1","4","0","5"
"208","3kt81s4iukrr4g7aaukrj","0","3","0","1","1","6"
"209","lz9skcz11wozj39f4wjl1","1","1","0","3","1","5"
"210","lz9skcz11wozj39f4wjl1","1","1","0","3","1","10"
"211","lz9skcz11wozj39f4wjl1","1","1","0","3","1","10"
"212","wzo7tqcy9e8x813pau7uj","1","3","1","2","2","8"
"213","psojflowbjjl0cztr2mkmb","1","3","0","5","2","7"
"214","1vot11bn62oqolf9mhgoi","1","3","1","5","2","8"
"215","8985tj2dmrrizgmjvg4mw","1","1","0","2","1","7"
"216","i7mxg5bzabr1h9pir7292l","0","3","1","4","1","5"
"217","11qd3jd0vak311i41tohzp","1","3","1","4","2","7"
"218","gtcn7hn356pssnli18i9n","1","3","1","3","2","10"
"219","jhaam397r7zbuhbgn4ecd","1","2","0","2","2","10"
"220","6p47nsnxq1qz0g7kg0fv1","1","3","1","2","2","10"
"221","9b8pdtnyp67jze1ahk8s0f","0","2","0","1","1","7"
"222","xyi4c6ca1dk1kqqt5qaplu","1","2","0","5","2","5"
"223","4dgu455kql3kk98wjv8mug","1","3","1","2","2","5"
"224","dnts23dokpij0h4yw1os","1","3","1","4","2","8"
"225","au8ogzamrzsneq8hyq1rrf","1","3","1","4","2","10"
"226","jlfcp61mv6nsu49erwpa","1","3","0","3","2","8"
"227","j5vimaebsk9jmcnnno8wyq","1","3","0","1","2","8"
"228","jlfcp61mv6nsu49erwpa","1","3","1","3","2","8"
"229","j5vimaebsk9jmcnnno8wyq","1","3","1","4","2","8"
"230","jlfcp61mv6nsu49erwpa","1","2","1","2","2","9"
"231","s00gz3ulr5ak425cvf3g","0","2","1","1","1","5"
"232","9cejc7g7umunofu8b019uq","1","3","1","3","2","7"
"233","ajenwx90oabt6r5t8gtqhe","1","3","1","5","1","5"
"234","0vwd0y9uk4ng7l14tr1wmww","1","3","1","2","2","10"
"235","0vwd0y9uk4ng7l14tr1wmww","1","2","1","4","2","8"
"236","0vwd0y9uk4ng7l14tr1wmww","1","2","1","2","2","9"
"237","zve7ml29g33vyujb6he4c","1","1","1","2","2","7"
"238","0vwd0y9uk4ng7l14tr1wmww","1","2","1","4","2","8"
"239","al8nuft2mvloztyohp758b","0","3","0","1","1","5"
"240","71ci37sdxkac8r4acy655g","0","3","1","4","0","5"
"241","g8167vtbg5mm6e7f6ibsc","1","3","1","4","2","8"
"242","71ci37sdxkac8r4acy655g","0","3","1","4","0","4"
"243","vjm29yqxd4bgctomjo6igc","1","3","1","2","0","2"
"244","vjm29yqxd4bgctomjo6igc","1","3","0","5","2","7"
"245","g8167vtbg5mm6e7f6ibsc","1","3","1","2","2","8"
"246","h1ziapn81jykxysronkc","1","2","0","2","1","9"
"247","symn1lzvgbdjvefdd5hjf","1","2","1","2","2","10"
"248","ztvitd750frgwl0gqetrk","1","3","1","4","0","3"
"249","p2ixck4vcss0yqp5jwvni1","1","3","1","2","2","9"
"250","m8x5oe1xxx8ys9e2baori","1","3","1","4","2","7"
"251","010v6sli8whrf59t87nrjpc","1","3","1","4","0","4"
"252","0ib7jtcy3qfi1qyvszcbl5e","1","3","1","3","2","9"
"253","yv8hhb0gtruoeg22l8vlp","1","2","1","2","2","9"
"254","28w7xgqph7qpuidb4s4xjl","1","3","1","5","2","7"
"255","cdsfsxqn6fdnzi72priu5","1","3","1","3","2","10"
"256","vp227uoje8f442stkdfb2e","1","3","1","3","2","8"
"257","traoda6d2hm2otby3kly","1","2","1","5","1","5"
"258","ci86avwml8a10o7q8z1xzd","1","3","1","2","0","3"
"259","6o93e4qhvuxf65kcp3sx1","1","3","1","4","2","7"
"260","9s7nvyi998927ansme60qp","1","2","1","4","2","7"
"261","l323j5dqk9e7pelgphdr42","1","3","1","4","2","10"
"262","l323j5dqk9e7pelgphdr42","1","3","1","4","2","10"
"263","gntbems3oilwg87z80e0eq","1","3","1","4","0","5"
"264","tcok00y8xlhd8llbhoeecb","1","3","1","4","1","5"
